brand,product_name,shade_name,finish,color_family,source,lipstick_id,image_path,image_source_url,image_source_page,image_source_name,final_cluster,L_star,a_star,b_star,chroma,pixel_pct
MAC,,Chili,satin,red,Beauty Unhyped red lipstick comparison,L0061,lipstick_images/swatches/L0061.jpg,https://i.ebayimg.com/images/g/5eAAAOSwngpg6NbL/s-l1200.jpg,https://www.ebay.com/itm/144108122422,eBay,0,39.90333632311342,39.403658276780675,25.537465380281446,46.95540888590344,19.509512485136742
3CE,,Step and Go,matte,red,Beauty Unhyped red lipstick comparison,L0062,lipstick_images/swatches/L0062.jpg,http://www.midorikittykitty.com/wp-site-content/uploads/2018/06/IMG_2771.jpg,http://www.midorikittykitty.com/review-3-concept-eyes-mood-recipe-matte-lip-colour-in-222-step-and-go/,Midori Kitty Kitty!,1,40.518507929348225,21.354888697996188,19.208825598810847,28.722991699844503,13.765155555555555
Armani,Lip Maestro,415,,red,Beauty Unhyped red lipstick comparison,L0063,lipstick_images/swatches/L0063.jpg,https://www.temptalia.com/wp-content/uploads/2019/10/giorgio-armani_redwood-415_003_swatch.jpg,https://www.temptalia.com/product/giorgio-armani-lip-maestro/redwood-415/,Temptalia,1,43.059608533654654,60.96797182706203,45.79338306843107,76.25042636967677,22.685263157894735
YSL,Rouge Volupte Shine,122 Burnt Zellige,glossy,red,Beauty Unhyped red lipstick comparison,L0064,lipstick_images/swatches/L0064.jpg,https://www.temptalia.com/wp-content/uploads/2021/02/ysl_burnt-zellige-122_003_swatch.jpg,https://www.temptalia.com/product/yves-saint-laurent-rouge-volupte-shine/burnt-zellige-122/,Temptalia,3,58.36080812808728,42.12871950581243,31.575206784628477,52.648102441507504,10.052842105263156
MAC,Powder Kiss,Marrakesh-Mere,soft matte,red,Beauty Unhyped red lipstick comparison,L0065,lipstick_images/swatches/L0065.jpg,https://www.temptalia.com/wp-content/uploads/2021/02/mac_marrakeshmere_003_swatch.jpg,https://www.temptalia.com/product/mac-powder-kiss-lipstick/marrakesh-mere/,Temptalia,3,45.12953751762067,46.907296772877146,37.87260008169693,60.28787877747003,8.212
MAC,,Marrakesh,matte,red,Beauty Unhyped red lipstick comparison,L0066,lipstick_images/swatches/L0066.jpg,https://www.temptalia.com/wp-content/uploads/2021/02/mac_marrakeshmere_003_swatch.jpg,https://www.temptalia.com/product/mac-powder-kiss-lipstick/marrakesh-mere/,Temptalia,3,45.12953751762067,46.907296772877146,37.87260008169693,60.28787877747003,8.212
Byredo,Liquid Vinyl Lipstick,Auburn,creamy,red,Beauty Unhyped red lipstick comparison,L0067,lipstick_images/swatches/L0067.jpg,https://www.skins.nl/media/a4/1f/19/1729038156/2461ff5ba8099df2908151b08f601c4d.png?ts=1750255770,https://www.skins.nl/en/byredo/liquid-lipstick-vinyl/126645/,Skins,1,30.75054464163695,33.65234906117246,26.240660987688216,42.6737962502257,10.987291666666668
YSL,Rouge Pur Couture,143 London Sky,,red,Beauty Unhyped red lipstick comparison,L0068,lipstick_images/swatches/L0068.jpg,https://www.temptalia.com/wp-content/uploads/2020/12/ysl_london-sky-143_005_swatch.jpg,https://www.temptalia.com/product/yves-saint-laurent-rouge-pur-couture-spf15-lipstick/london-sky-143/,Temptalia,1,50.9824176244561,56.2656027631611,33.0218430689047,65.2400197269223,13.20442105263158
Anastasia Beverly Hills,Full-Pigment Matte & Satin Velvet Lipstick,Hush Pink,matte/satin,pink,Sephora pink lipstick listings,L0069,lipstick_images/swatches/L0069.jpg,https://media.ulta.com/i/ulta/2604139_alt02?w=800&h=800&fmt=auto,https://www.ulta.com/p/full-pigment-matte-satin-velvet-lipstick-pimprod2030578?sku=2604139,Ulta Beauty,4,62.3384835897819,29.881745722539733,19.28421516401417,35.564022296676676,42.924687500000005
Charlotte Tilbury,K.I.S.S.I.N.G Satin Shine Lipstick,90's Pink,satin shine,pink,Sephora pink lipstick listings,L0070,lipstick_images/swatches/L0070.jpg,"https://m.media-amazon.com/images/I/81v4OFLQlXL._AC_UF1000,1000_QL80_AIweblab1381794,T1_.jpg",https://www.amazon.com/CHARLOTTE-TILBURY-K-I-S-S-I-N-G-Lipstick-Pink/dp/B0CT8HVGV8,Amazon.com,1,35.417778824212974,27.88291131241533,15.91108489572258,32.10326098412605,23.6766
Gucci,Long Lasting Satin Lipstick,221 Mina Light Pink,satin,pink,Sephora pink lipstick listings,L0071,lipstick_images/swatches/L0071.jpg,https://images.selfridges.com/is/image/selfridges/R04304516_221MINALIGHTPINK_ALT01?$CHANNEL_INTELLIGENCE$,https://modesens.com/product/gucci-221-mina-light-pink-rouge-a-levres-satin-lipstick-35g-93170029/?srsltid=AfmBOoqIkp4kg9ksGMebVCSquW2FhplAa3qu-sFF4-gD_9lAbQex1yT1,ModeSens,2,45.69202481474309,20.29952443424293,22.98241226632004,30.663691327619436,11.42015625
CLINIQUE,Almost Lipstick,Pink Honey,sheer,pink,Sephora pink lipstick listings,L0072,lipstick_images/swatches/L0072.jpg,https://i.pinimg.com/474x/ee/a0/d2/eea0d22f78618b97b32e5dfc0d771d30.jpg,https://www.pinterest.com/pin/clinique-almost-lipstick-in-luscious-honey--211174968764430/,Pinterest,0,51.08086240305432,30.295479950252343,15.671536753939762,34.10884298310669,18.661656351311525
DIOR,Rouge Dior Refillable Lipstick,772 Classic Rosewood,,pink,Sephora pink lipstick listings,L0073,lipstick_images/swatches/L0073.jpg,https://media.ulta.com/i/ulta/2618518_sm?w=800&h=800&fmt=auto,https://www.ulta.com/p/rouge-dior-lipstick-pimprod2043044?sku=2618518,Ulta Beauty,2,52.799041013777064,45.1980726107343,20.763933399305728,49.73938779213124,34.4215625
TOM FORD,Lip Color Matte Lipstick with Full Coverage Pigment,Fascinator,matte,pink,Sephora pink lipstick listings,L0074,lipstick_images/swatches/L0074.jpg,https://www.temptalia.com/wp-content/uploads/2020/04/tom-ford-beauty_fascinator_003_swatch.jpg,https://www.temptalia.com/product/tom-ford-beauty-lip-color-matte/fascinator/,Temptalia,3,64.73120446659118,41.07534176871178,19.93318972828064,45.656497392595845,12.344
Gucci,Transfer-Proof Matte Liquid Lipstick,413 Cornelia Pink,matte,pink,Sephora pink lipstick listings,L0075,lipstick_images/swatches/L0075.jpg,https://i.ytimg.com/vi/OOg78fFXRUU/oar2.jpg?sqp=-oaymwEYCJUDENAFSFqQAgHyq4qpAwcIARUAAIhC&rs=AOn4CLAsDIvb3Tn3VVHxrQUn0WiHtK1XtQ&usqp=CCk,https://www.youtube.com/shorts/OOg78fFXRUU,YouTube,4,56.83730229377856,39.29841425466415,0.2466857069758248,39.29918850013594,16.115912208504803
Bobbi Brown,Luxe Hydrating Lipstick,Pink Cloud,hydrating,pink,Sephora pink lipstick listings,L0076,lipstick_images/swatches/L0076.jpg,https://www.temptalia.com/wp-content/uploads/2022/11/bobbi-brown_pink-cloud_003_swatch.jpg,https://www.temptalia.com/product/bobbi-brown-luxe-lipstick/pink-cloud/,Temptalia,3,64.22900127002816,43.67486823370734,13.900082431993468,45.83346383209447,8.453052631578947
SEPHORA COLLECTION,About That Shine Lacquer Shine Lipstick,03 Pink Plasma,lacquer shine,pink,Sephora pink lipstick listings,L0077,lipstick_images/swatches/L0077.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/000000000494433091/AACQlUn4H-000000000494433091_3.jpg,https://sephora.in/product/sephora-collection-about-that-shine-lacquer-shine-lipstick-v-03-pink-plasma?srsltid=AfmBOopr6bGXULjpwIF4-nCRpOv2dU8y6Uccxc3jU5k35qwJ02SOj52o,Sephora India,2,34.25568309524528,48.39613439304901,27.908310473204068,55.86644446945602,14.512177777777776
SEPHORA COLLECTION,Cream Lip Stain 10HR Liquid Lipstick,71 Pink Cashmere,liquid,pink,Sephora pink lipstick listings,L0078,lipstick_images/swatches/L0078.jpg,https://tb-static.uber.com/prod/image-proc/processed_images/eac91023c382570d5d0cebfc5d3bdaf7/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,https://postmates.com/store/sephora-2525-el-camino-real-224/uFP7AKiLXhqBKzPEFx0jpQ/e2998a8c-7a08-5a69-baea-32dc74ff2be2/67750f9f-12f4-5667-b001-5a113dbd6c59/8727f036-7664-5c9b-be97-991124509371?scats=e2998a8c-7a08-5a69-baea-32dc74ff2be2,Postmates,2,57.14340849954861,21.23783238391411,21.210123389320728,30.01524376974875,23.7807
Freck Beauty,MAKEOUT CLUB Soft Blur Lipstick,Muse - a pink beige,soft blur,pink,Sephora pink lipstick listings,L0079,lipstick_images/swatches/L0079.jpg,https://m.media-amazon.com/images/I/91zjqWPo6QL.jpg,https://us.amazon.com/Freck-Beauty-MAKEOUT-CLUB-Lipstick/dp/B0BN4HGR1B,Amazon.com,2,50.99711932094117,38.73817825133099,26.954156447881616,47.1929338359968,23.831634521484375
Valentino,Liquirosso 2 in 1 Soft Matte Liquid Lipstick & Blush,302R - Pink Is Punk,soft matte,pink,Sephora pink lipstick listings,L0080,lipstick_images/swatches/L0080.jpg,https://i.ebayimg.com/images/g/B30AAOSw~y9ntqBi/s-l1200.png,https://www.ebay.com/itm/146402628589,eBay,0,58.59653477759355,63.61287297528284,-11.14413895993249,64.58164941628354,9.579591836734696
Kosas,Wet Stick Moisturizing Shiny Sheer Lipstick with Ceramides,Baby Rose,shiny sheer,pink,Sephora pink lipstick listings,L0081,lipstick_images/swatches/L0081.jpg,https://www.temptalia.com/wp-content/uploads/2023/07/kosas_baby-rose_003_swatch.jpg,https://www.temptalia.com/product/kosas-wet-stick-moisturizing-lip-shine/baby-rose/,Temptalia,3,75.86078050940709,24.54517188199628,12.71052435202165,27.640964021178355,16.826947368421052
ILIA,Color Block Lipstick,Rosette,,pink,Sephora pink lipstick listings,L0082,lipstick_images/swatches/L0082.jpg,https://www.smallflower.com/cdn/shop/products/Untitleddesign_34_-min.png?v=1673898099&width=1946,https://www.smallflower.com/products/ilia-color-block-lipstick-rosette-0_14-oz?srsltid=AfmBOopagozFi-r0JBBqrjqOcpR9nPV7hPwgkbTnpVlb_sJ6VS9kGqUc,Smallflower,1,49.267536862086615,35.32121609686152,11.966019931887589,37.2930816582851,5.232727633779043
REFY,Lip Blush,Bloom,,pink,Sephora pink lipstick listings,L0083,lipstick_images/swatches/L0083.jpg,,,,2,72.20951447138953,25.943372531110867,13.793241237584112,29.382172862574148,24.76527149321267
Bobbi Brown,Luxe Hydrating Lipstick,Sandwash Pink,hydrating,pink,Sephora pink lipstick listings,L0084,lipstick_images/swatches/L0084.jpg,"https://m.media-amazon.com/images/I/91ip7HBuK-L._AC_UF1000,1000_QL80_.jpg",https://www.amazon.com/Bobbi-Brown-Luxe-Lipstick-Sandwash/dp/B0D5WFXFDD,Amazon.com,0,35.54410029925871,28.93169663403316,18.378477457032744,34.27552339151638,18.9168
PAT McGRATH LABS,LiquiLUST™: Legendary Wear Matte Lipstick,Pink Desire,matte,pink,Sephora pink lipstick listings,L0085,lipstick_images/swatches/L0085.jpg,,,,3,50.10229267887457,48.454928025120466,12.866120036068878,50.13399141004173,30.442871957542856
DIOR,Dior Addict Shine Lipstick,628 Pink Bow,shine,pink,Sephora pink lipstick listings,L0086,lipstick_images/swatches/L0086.jpg,https://media.ulta.com/i/ulta/2604223_sm?w=800&h=800&fmt=auto,https://www.ulta.com/p/addict-shine-lipstick-pimprod2036809?sku=2604223,Ulta Beauty,3,48.96568416371295,41.206975742783584,19.856226974794595,45.741497565568565,6.54234375
Givenchy,Rose Perfecto Hydrating Tinted Lip Balm & Gloss,210 Pink Nude,tinted balm/gloss,pink,Sephora pink lipstick listings,L0087,lipstick_images/swatches/L0087.jpg,,,,3,48.81446111355629,34.48666282863127,15.218000383803712,37.69505867799051,19.15784832451499
Givenchy,Rose Perfecto Hydrating Tinted Lip Balm & Gloss,220 Luminous Pink,tinted balm/gloss,pink,Sephora pink lipstick listings,L0088,lipstick_images/swatches/L0088.jpg,,,,0,55.13859832867264,41.160919540227326,17.97840883479853,44.91597134236584,17.669005102040817
ILIA,Lip Sketch Hydrating Lipstick + Lip Liner Crayon,Pink Door,hydrating,pink,Sephora pink lipstick listings,L0089,lipstick_images/swatches/L0089.jpg,https://credobeauty.com/cdn/shop/files/Ilia_LipSketchHydratingCrayon_Swatch_02_PinkDoor.png?v=1756858725,https://credobeauty.com/products/lip-sketch-hydrating-crayon?srsltid=AfmBOopThWuuNRoI1FYEnf4RKnnO9-bnbtoQ1SVoIvjPcoWav3_F2DtE,Credo Beauty,1,46.652992991583986,42.647767170424146,14.505567016563248,45.047125536428126,8.943866580780956
SEPHORA COLLECTION,About That Shine Sheer Shine Lipstick,04 Pink Mirage,sheer shine,pink,Sephora pink lipstick listings,L0090,lipstick_images/swatches/L0090.jpg,https://tb-static.uber.com/prod/image-proc/processed_images/7aeb544afd93c7557962b264fa67108f/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,https://postmates.com/store/sephora-820-w-stacy-road/HQ4dcSZGWNqdi9z_aRlscA/e2998a8c-7a08-5a69-baea-32dc74ff2be2/8e8fcbb5-945f-4cf0-bfe9-a208cac3bc39/d641b1b0-8e22-5ff1-a23d-39378649cfe1?scats=9d480d3e-7d0b-4fbc-b32e-def34363dc45,Postmates,4,49.43350178958984,36.746868010696545,20.95328995730216,42.30097715928478,12.7857
Bobbi Brown,Luxe Hydrating Lipstick,Pink Buff,hydrating,pink,Sephora pink lipstick listings,L0091,lipstick_images/swatches/L0091.jpg,https://www.temptalia.com/wp-content/uploads/2022/11/bobbi-brown_pink-buff_003_swatch.jpg,https://www.temptalia.com/product/bobbi-brown-luxe-lipstick/pink-buff/,Temptalia,1,60.08218501841864,41.459402144406624,24.78345548316921,48.302191377388446,12.31642105263158
